manufacturer,model_name,category,screen_size,screen,cpu,ram_gb,storage_gb,gpu,operating_system,operating_system_version,weight_kg,price,storage_device
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows,10,2.56,1111.0,SSD
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,500,Nvidia GeForce GTX 1050,Windows,10,2.62,799.0,Hybrid
Lenovo,V110-15IKB (i5-7200U/4/128/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows,10,1.9,443.0,SSD
MSI,GE73VR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows,10,2.8,1681.0,SSD + HDD
HP,EliteBook 840,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4,256,Intel HD Graphics 620,Windows,10,1.48,962.0,SSD
HP,15-BS103nv (i5-8250U/6/256/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6,256,AMD Radeon 520,Windows,10,1.91,550.0,SSD
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,256,Intel HD Graphics 620,Windows,10,1.74,559.0,SSD
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows,10,1.1,1169.0,SSD
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows,10,1.56,933.0,SSD
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4,500,Intel HD Graphics 520,Windows,10,2.1,397.0,HDD
Asus,X555BP-XX180T (A9-9420/4/1TB/Radeon,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,128,AMD Radeon R5 M420,Windows,10,2.03,358.0,HDD
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Nvidia GeForce MX150,Windows,10,3.0,716.0,SSD
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Windows,10,2.13,647.0,SSD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,959.0,SSD
Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,128,Intel HD Graphics 500,Windows,10,2.1,309.0,HDD
MSI,GE63VR 7RE,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows,10,2.4,1600.0,SSD + HDD
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,128,Intel HD Graphics 505,Windows,10,2.1,323.0,HDD
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128,Nvidia GeForce GTX 1050,Windows,10,2.56,943.0,SSD + HDD
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,Windows,10,3.0,759.0,SSD
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows,10,1.49,670.0,HDD
Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,1.05,1200.0,SSD
HP,17-bs001nv (i5-7200U/6/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,AMD Radeon 520,Windows,10,2.71,622.0,HDD
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4,500,AMD Radeon R4 Graphics,No OS,,2.2,275.0,HDD
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,500,Intel HD Graphics 620,Windows,10,2.0,435.0,HDD
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX,Windows,10,2.5,821.0,SSD
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8,500,Intel HD Graphics 620,Windows,10,2.3,408.0,HDD
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows,10,2.1,399.0,SSD
MSI,GT80S 6QF-074US,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32,512,Nvidia GTX 980 SLI,Windows,10,4.4,1659.0,SSD + HDD
Lenovo,V310-15IKB (i5-7200U/8/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128,AMD R17M-M1-70,Windows,10,1.9,723.0,SSD + HDD
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.29,1333.0,SSD
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256,AMD Radeon 530,Linux,,2.02,933.0,SSD + HDD
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.23,1244.0,SSD
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows,10,1.4,1644.0,SSD
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows,10,2.0,705.0,SSD
Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,,1.95,1066.0,SSD
Dell,Inspiron 7773,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 150MX,Windows,10,2.77,1377.0,SSD
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows,10,2.06,1421.0,SSD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,No OS,,2.4,693.0,SSD
Acer,Swift 7,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8,256,Intel HD Graphics 615,Windows,10,1.12,879.0,SSD
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows,10,2.8,965.0,SSD + HDD
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,500,Intel HD Graphics 620,Windows,10,1.42,1674.0,SSD
Vero,K147 (N3350/4/32/FHD/W10),Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows,10,1.3,231.0,Flash Storage
Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce MX150,No OS,,1.3,889.0,SSD
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,,2.8,621.0,SSD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,500,Intel UHD Graphics 620,Windows,10,1.62,746.0,HDD
HP,ProBook 470,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,500,Nvidia GeForce 930MX,Windows,10,2.5,813.0,HDD
Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32,1000,Nvidia GeForce GTX 1080,Windows,10,3.49,3615.0,SSD
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,512,Intel UHD Graphics 620,Windows,10,1.49,853.0,SSD
HP,Omen 17-W295,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050,Windows,10,3.35,1226.0,SSD + HDD
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX ,Windows,10,2.5,929.0,SSD
Dell,Inspiron 7577,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,Windows,10,2.65,1641.0,SSD + HDD
Lenovo,V110-15ISK (i5-6200U/4/128/W10),Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,128,Intel HD Graphics 520,Windows,10,2.1,438.0,SSD
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,500,Nvidia GeForce 940MX,Windows,10,2.23,660.0,HDD
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,Windows,10,3.2,1555.0,SSD + HDD
Dell,Precision 7520,Workstation,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16,256,Nvidia Quadro M1200,Windows,10,2.8,1811.0,SSD + HDD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,No OS,,2.4,1243.0,SSD
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6,256,Intel HD Graphics 620,Windows,10,2.3,390.0,HDD
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows,10,1.21,1733.0,SSD
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows,10,1.2,1288.0,SSD
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,2.2,531.0,SSD
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,500,Nvidia GeForce GTX 1050,Linux,,2.4,693.0,HDD
Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050,Windows,10,2.9,1251.0,SSD + HDD
HP,15-bs018nq (i3-6006U/4/500/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,,2.1,310.0,HDD
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,,2.2,488.0,SSD
Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows,10,1.05,1333.0,SSD
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows,10,1.4,829.0,SSD
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8,500,Nvidia GeForce GTX 940MX,No OS,,2.8,524.0,HDD
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX,Windows,10,1.63,917.0,SSD
Dell,Latitude 5490,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.6,1022.0,SSD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows,10,1.62,1137.0,SSD
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Linux,,2.2,602.0,SSD
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.74,799.0,SSD
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows,10,1.2,1212.0,SSD
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,500,Intel UHD Graphics 620,Windows,10,2.1,706.0,HDD
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows,10,4.42,1456.0,SSD + HDD
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows,10,2.2,740.0,SSD
Dell,Inspiron 5567,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,500,AMD Radeon R7 M445,Windows,10,2.3,764.0,HDD
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 920MX ,Windows,10,2.0,684.0,SSD
Asus,K756UX-T4340T (i5-7200U/8/500,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce GTX 950M,Windows,10,2.69,792.0,SSD + HDD
HP,ZBook 15u,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,500,AMD FirePro W4190M ,Windows,10,1.9,1128.0,HDD
Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows,10,2.37,355.0,HDD
HP,15-rb013nv (E2-9000e/4/500/W10),Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4,500,AMD Radeon R2,Windows,10,2.1,293.0,HDD
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows,10,3.2,1333.0,SSD + HDD
Dell,Vostro 5468,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,1.6,764.0,SSD
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows,10,1.6,613.0,SSD
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,256,AMD Radeon R7 M445,Linux,,2.36,799.0,SSD
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Linux,,2.1,347.0,HDD
Asus,X555QG-DM242T (A10-9620P/4/1TB,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4,128,AMD Radeon R5 M430,Windows,10,2.2,511.0,SSD + HDD
Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32,512,Nvidia GeForce GTX 1080,Windows,10,4.7,2306.0,SSD + HDD
Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,2.5,752.0,SSD
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8,128,Intel HD Graphics 520,Windows,10,2.2,524.0,SSD
Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,Nvidia GeForce 150MX,Windows,10,2.1,1018.0,SSD + HDD
Asus,F756UX-T4201D (i7-7500U/8/128,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,128,Nvidia GeForce GTX 950M,No OS,,2.69,790.0,SSD + HDD
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,2.56,782.0,SSD
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,1.38,959.0,SSD
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows,10,2.2,876.0,SSD + HDD
HP,15-bs015dx (i5-7200U/8/1TB/W10),Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,500,Intel HD Graphics 620,Windows,10,2.04,497.0,HDD
Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16,256,Nvidia GeForce GTX 1080,Windows,10,3.6,1778.0,SSD
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows,10,1.49,600.0,HDD
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,512,Intel Iris Plus Graphics 650,macOS,,1.37,1814.0,SSD
Dell,Inspiron 5579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,500,Intel UHD Graphics 620,Windows,10,2.08,728.0,HDD
Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 980M,Windows,10,4.3,1600.0,SSD + HDD
Asus,X505BP-BR019T (A9-9420/4/1TB/Radeon,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,128,AMD Radeon R5 M420,Windows,10,1.68,417.0,HDD
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows,10,1.37,1644.0,SSD
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows,10,3.0,624.0,SSD
Dell,Vostro 5370,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,1.41,844.0,SSD
HP,15-BW094nd (A6-9220/8/128/W10),Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8,128,AMD Radeon R4 Graphics,Windows,10,1.91,396.0,SSD
HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,500,Nvidia GeForce MX150,Windows,10,2.9,942.0,HDD
MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1070,Windows,10,4.14,1481.0,SSD + HDD
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GTX 1050M,Windows,10,2.0,1511.0,SSD
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows,10,2.8,1015.0,SSD + HDD
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,No OS,,2.2,395.0,SSD
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel HD Graphics 620,Windows,10,2.1,642.0,HDD
Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows,10,2.18,584.0,HDD
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,500,AMD Radeon R5 M430,Windows,10,2.24,502.0,HDD
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,2.67,710.0,SSD
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows,10,1.1,1333.0,SSD
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,No OS,,2.2,415.0,HDD
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,500,Nvidia GeForce 930MX ,Windows,10,2.5,905.0,HDD
Lenovo,V330-15IKB (i7-8550U/8/256/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows,10,2.05,782.0,SSD
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8,512,Intel Iris Graphics 550,macOS,,1.37,1742.0,SSD
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256,AMD Radeon RX 580,Windows,10,3.2,1377.0,SSD + HDD
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Linux,,2.14,654.0,SSD
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16,512,Intel HD Graphics 520,Windows,10,1.36,1481.0,SSD
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8,500,Nvidia GeForce 930M,Windows,10,2.2,722.0,HDD
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12,500,Intel HD Graphics 620,Windows,10,2.3,634.0,HDD
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Linux,,2.8,977.0,SSD + HDD
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,500,Nvidia GeForce MX130,Windows,10,2.2,662.0,HDD
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows,10,2.8,435.0,HDD
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,500,Nvidia GeForce MX150,No OS,,2.8,755.0,HDD
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6,128,Nvidia GeForce 940MX,Windows,10,2.8,764.0,SSD + HDD
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4,128,AMD Radeon R5 M430,Linux,,2.25,381.0,HDD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,2.5,737.0,SSD
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Intel HD Graphics 620,Windows,10,2.2,515.0,SSD
Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows,10,3.0,846.0,SSD
Acer,SP315-51 (i7-7500U/12/1TB/FHD/W10),Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,500,Intel HD Graphics 620,Windows,10,2.15,586.0,HDD
Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 630,Windows,10,1.95,975.0,SSD
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows,10,1.7,869.0,SSD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,1048.0,SSD + HDD
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,500,Nvidia GeForce 940MX,No OS,,2.2,586.0,HDD
Acer,Chromebook C910-C2ST,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2,16,Intel HD Graphics,Chrome OS,,2.19,177.0,SSD
Asus,FX753VD-GC071T (i7-7700HQ/8/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,500,Nvidia GeForce GTX 1050,Windows,10,3.0,1055.0,HDD
HP,17-BS037cl (i3-6006U/8/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8,500,Intel HD Graphics 520,Windows,10,2.54,435.0,HDD
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,2.0,1626.0,SSD
Lenovo,V330-15IKB (i5-8250U/8/256/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,2.05,657.0,SSD
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,500,Nvidia GeForce GTX 1060,Windows,10,3.2,1155.0,HDD
Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Linux,,2.5,871.0,SSD
