id,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium
431,880,380,42,14,1,75,2020,94,12,6,31,NA,NA,NA
432,830,320,35,11,0,85,1940,91,10,6,37,NA,NA,NA
433,820,320,36,12,1,70,2020,91,10,7,33,NA,NA,NA
434,170,50,6,3,0,30,460,18,1,1,12,NA,NA,NA
435,320,120,14,5,0,25,770,36,6,2,13,NA,NA,NA
436,160,90,10,3.5,0,25,350,13,2,1,8,NA,NA,NA
437,200,100,12,4.5,0,35,370,15,3,3,9,NA,NA,NA
438,170,90,10,4,0,25,290,12,3,1,8,NA,NA,NA
439,200,110,12,5,0,35,320,15,3,2,9,NA,NA,NA
440,320,120,14,5,0,25,640,37,7,2,13,NA,NA,NA
441,350,140,16,6,0,35,670,40,7,3,14,NA,NA,NA
442,340,160,18,7,0,35,640,32,4,6,12,10,2,15
443,350,180,20,8,0.5,40,630,30,4,3,13,15,2,20
444,380,170,19,6,0,35,650,39,5,2,13,8,2,20
445,320,120,13,5,0,25,770,36,7,2,14,NA,NA,NA
446,170,90,10,3.5,0,25,370,12,3,1,8,NA,NA,NA
447,200,110,12,5,0,30,390,15,3,2,9,NA,NA,NA
448,250,130,14,4,0,30,550,19,2,2,11,NA,NA,NA
449,320,120,13,5,0,25,760,36,7,2,14,NA,NA,NA
450,170,80,9,4,0,25,340,13,2,1,8,NA,NA,NA
451,200,100,11,5,0,35,370,15,3,2,9,NA,NA,NA
452,230,100,11,5,0,35,530,22,3,3,10,NA,NA,NA
453,200,80,9,4,0,25,510,19,3,1,10,NA,NA,NA
454,250,120,13,3,0,10,510,28,3,1,6,NA,NA,NA
455,340,160,18,4,0,40,530,29,3,4,16,NA,NA,NA
456,340,170,18,4,0,30,570,29,3,4,14,NA,NA,NA
457,370,190,21,5,0,30,570,31,4,4,13,NA,NA,NA
458,600,310,35,8,0.5,50,1010,50,6,5,21,15,4,15
459,420,250,28,6,0,65,1070,23,4,2,19,6,4,6
460,440,270,30,7,0,70,1090,22,3,1,20,6,4,6
461,600,310,35,8,0.5,50,1240,52,7,5,21,15,8,15
462,350,80,9,3,0,0,950,57,9,3,11,NA,NA,NA
463,340,80,8,3,0,25,1020,50,7,4,17,NA,NA,NA
464,340,80,9,3,0,15,1060,50,7,4,15,NA,NA,NA
465,150,35,4,1,0,25,460,18,2,2,11,NA,NA,NA
466,140,70,8,2,0,20,290,13,3,1,6,NA,NA,NA
467,150,35,4,2,0,15,500,19,2,2,9,NA,NA,NA
468,170,60,7,3,0,20,500,20,3,2,8,NA,NA,NA
469,490,260,29,10,1,55,810,39,5,6,20,NA,NA,NA
470,490,250,28,10,1,55,890,40,5,5,20,NA,NA,NA
471,490,250,28,10,1,55,890,40,5,4,20,NA,NA,NA
472,490,250,28,10,1,55,880,40,5,5,20,NA,NA,NA
473,570,290,32,12,1,70,1110,44,7,5,25,15,2,30
474,300,120,14,5,0,30,550,31,4,6,13,NA,NA,NA
475,270,90,10,4,0,40,510,29,2,6,16,NA,NA,NA
476,270,90,11,4,0,30,550,29,2,6,14,NA,NA,NA
477,710,360,41,6,0,30,1420,73,10,4,13,10,4,8
478,760,360,39,6,0,30,1100,82,13,5,18,NA,NA,NA
479,430,210,23,5,0,30,690,44,7,3,12,NA,NA,NA
480,320,140,15,1.5,0,0,600,41,6,2,7,NA,NA,NA
481,260,140,16,4.5,0,30,550,19,3,1,10,6,0,10
482,410,170,19,6,0,25,960,46,4,3,14,NA,NA,NA
483,210,110,12,4,0,25,560,17,3,1,9,NA,NA,NA
484,420,170,19,4.5,0,20,870,49,5,3,12,NA,NA,NA
485,430,210,23,5,0,20,900,43,3,4,12,NA,NA,NA
486,560,200,22,4,0,60,1520,64,9,4,26,NA,NA,NA
487,580,210,23,4,0,50,1460,66,10,4,27,NA,NA,NA
488,540,190,21,3,0,10,1310,75,14,4,14,NA,NA,NA
489,480,240,27,11,1,50,1000,40,4,3,19,NA,NA,NA
490,190,80,9,5,0,20,450,18,2,1,9,NA,NA,NA
491,520,250,28,12,1,75,1210,41,4,3,27,NA,NA,NA
492,620,340,37,8,0,50,1290,53,4,4,17,8,6,15
493,380,150,17,8,1,35,930,41,5,2,16,NA,NA,NA
494,290,170,18,3,0,25,640,22,1,1,9,NA,NA,NA
495,650,340,37,13,0.5,75,1480,51,5,3,26,10,2,45
496,540,190,21,6,0,30,1110,71,7,7,16,NA,NA,NA
497,270,100,11,4,0,15,650,32,8,2,12,NA,NA,NA
498,580,260,29,9,1,60,1270,59,8,7,23,NA,NA,NA
499,470,200,22,6,0,25,1120,55,4,5,13,NA,NA,NA
500,540,270,31,8,1,40,860,47,7,2,20,NA,NA,NA
501,270,130,14,7,1,40,740,21,3,2,14,NA,NA,NA
502,440,210,23,10,0.5,60,840,36,3,3,22,15,6,35
503,440,200,23,10,0.5,60,840,37,3,3,22,15,8,35
504,460,240,26,11,1,50,890,38,4,3,19,15,6,35
505,180,70,8,2.5,0,25,540,15,2,1,12,NA,NA,NA
506,400,180,20,4,0,25,900,42,3,3,15,NA,NA,NA
507,200,90,10,2.5,0,10,440,22,4,1,7,NA,NA,NA
508,390,170,18,8,0.5,40,1050,39,4,3,18,8,2,30
509,520,250,28,12,1,65,1250,41,4,3,25,NA,NA,NA
510,700,270,30,9,0.5,45,1550,85,9,7,23,15,6,25
511,780,340,38,10,0.5,50,1850,87,9,8,23,20,10,25
512,580,260,29,9,1,60,1270,59,8,7,23,NA,NA,NA
513,780,380,42,10,1,60,1340,74,11,7,26,NA,NA,NA
514,720,320,35,7,0,70,1260,70,8,8,32,NA,NA,NA
515,720,320,36,8,1,55,1340,70,8,8,28,NA,NA,NA
